product_name,price,sku,stock_availability,categories,tags,short_description,product_url,listing_page_number
Beedrill,£ 168.00,6542,125 in stock,Poison Bee | Pokemon,beedrill | Poison Bee | Swarm,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",https://scrapeme.live/shop/Beedrill/,1
Blastoise,£ 76.00,5212,88 in stock,Pokemon | Shellfish,blastoise | Shellfish | Torrent,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,https://scrapeme.live/shop/Blastoise/,1
Bulbasaur,£ 63.00,4391,45 in stock,Pokemon | Seed,bulbasaur | Overgrow | Seed,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",https://scrapeme.live/shop/Bulbasaur/,1
Butterfree,£ 162.00,9507,242 in stock,Butterfly | Pokemon,Butterfly | butterfree | Compound Eyes,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",https://scrapeme.live/shop/Butterfree/,1
Caterpie,£ 73.00,7492,40 in stock,Pokemon | Worm,caterpie | Shield Dust | Worm,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",https://scrapeme.live/shop/Caterpie/,1
Charizard,£ 156.00,8840,31 in stock,Flame | Pokemon,Blaze | Charizard | Flame,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",https://scrapeme.live/shop/Charizard/,1
Charmander,£ 48.00,9086,206 in stock,Lizard | Pokemon,Blaze | charmander | Lizard,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",https://scrapeme.live/shop/Charmander/,1
Charmeleon,£ 165.00,6565,284 in stock,Flame | Pokemon,Blaze | charmeleon | Flame,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",https://scrapeme.live/shop/Charmeleon/,1
Ivysaur,£ 87.00,7227,142 in stock,Pokemon | Seed,ivysaur | Overgrow | Seed,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",https://scrapeme.live/shop/Ivysaur/,1
Kakuna,£ 148.00,1049,260 in stock,Cocoon | Pokemon,Cocoon | kakuna | Shed Skin,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",https://scrapeme.live/shop/Kakuna/,1
Metapod,£ 148.00,2072,285 in stock,Cocoon | Pokemon,Cocoon | metapod | Shed Skin,The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,https://scrapeme.live/shop/Metapod/,1
Pidgey,£ 159.00,9452,175 in stock,Pokemon | Tiny Bird,Keen Eye | pidgey | Tiny Bird,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",https://scrapeme.live/shop/Pidgey/,1
Squirtle,£ 130.00,6094,178 in stock,Pokemon | Tiny Turtle,squirtle | Tiny Turtle | Torrent,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",https://scrapeme.live/shop/Squirtle/,1
Venusaur,£ 105.00,7036,30 in stock,Pokemon | Seed,Overgrow | Seed | venusaur,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,https://scrapeme.live/shop/Venusaur/,1
Wartortle,£ 123.00,9659,24 in stock,Pokemon | Turtle,Torrent | Turtle | wartortle,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.",https://scrapeme.live/shop/Wartortle/,1
Weedle,£ 25.00,7525,65 in stock,Hairy Bug | Pokemon,Hairy Bug | Shield Dust | weedle,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,https://scrapeme.live/shop/Weedle/,1
Arbok,£ 182.00,9230,248 in stock,Cobra | Pokemon,arbok | Cobra | Shed Skin,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.",https://scrapeme.live/shop/Arbok/,2
Ekans,£ 55.00,5690,120 in stock,Pokemon | Snake,ekans | Shed Skin | Snake,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,https://scrapeme.live/shop/Ekans/,2
Fearow,£ 95.00,9127,276 in stock,Beak | Pokemon,Beak | fearow | Keen Eye,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,https://scrapeme.live/shop/Fearow/,2
Nidoking,£ 31.00,1159,178 in stock,Drill | Pokemon,Drill | nidoking | Poison Point,"Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.",https://scrapeme.live/shop/Nidoking/,2
Nidoqueen,£ 106.00,6614,153 in stock,Drill | Pokemon,Drill | nidoqueen | Poison Point,Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,https://scrapeme.live/shop/Nidoqueen/,2
Nidorina,£ 28.00,9779,58 in stock,Poison Pin | Pokemon,nidorina | Poison Pin | Poison Point,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.",https://scrapeme.live/shop/Nidorina/,2
